Name,Category,Cost,Weight,Description
Backpack,Adventuring Gear,2 gp,2 lb.,Container for carrying items
Barrel,Adventuring Gear,2 gp,30 lb.,Large container
Basket,Adventuring Gear,4 sp,1 lb.,Container
Bedroll,Adventuring Gear,1 sp,5 lb.,For sleeping
Bell,Adventuring Gear,1 gp,,Small bell
Blanket (winter),Adventuring Gear,5 sp,3 lb.,Warm blanket
Block and tackle,Adventuring Gear,5 gp,5 lb.,Lifting mechanism
Bottle (wine glass),Adventuring Gear,2 gp,,Glass bottle
Bucket,Adventuring Gear,5 sp,2 lb.,Container for liquids
Caltrops,Adventuring Gear,1 gp,2 lb.,Covers 5 ft square; attack +0 deals 1 damage and halves speed
Candle,Adventuring Gear,1 cp,,Illuminates 5 ft radius for 1 hour
Canvas (sq. yd.),Adventuring Gear,1 sp,1 lb.,Fabric
Case (map or scroll),Adventuring Gear,1 gp,0.5 lb.,Protective container
Chain (10 ft.),Adventuring Gear,30 gp,2 lb.,Hardness 10; 5 HP; DC 26 to burst
Chalk,Adventuring Gear,1 cp,,For marking
Chest,Adventuring Gear,2 gp,25 lb.,Storage container
Crowbar,Adventuring Gear,2 gp,5 lb.,+2 on Strength checks to pry
Firewood (per day),Adventuring Gear,1 cp,20 lb.,Fuel
Fishhook,Adventuring Gear,1 sp,,For fishing
Fishing net (25 sq. ft.),Adventuring Gear,4 gp,5 lb.,For catching fish
Flask,Adventuring Gear,3 cp,1.5 lb.,Container for liquids
Flint and steel,Adventuring Gear,1 gp,,Fire starting kit
Grappling hook,Adventuring Gear,1 gp,4 lb.,DC 10 Use Rope to throw
Hammer,Adventuring Gear,5 sp,2 lb.,Tool
Ink (1 oz. vial),Adventuring Gear,8 gp,,Black ink
Inkpen,Adventuring Gear,1 sp,,Writing implement
Jug (clay),Adventuring Gear,3 cp,9 lb.,Holds 1 gallon
Ladder (10-foot),Adventuring Gear,5 cp,20 lb.,Climbing aid
Lamp (common),Adventuring Gear,1 sp,1 lb.,Illuminates 15 ft radius for 6 hours
Lantern (bullseye),Adventuring Gear,12 gp,3 lb.,60 ft cone illumination for 6 hours
Lantern (hooded),Adventuring Gear,7 gp,2 lb.,30 ft radius illumination for 6 hours
Lock (very simple),Adventuring Gear,20 gp,1 lb.,DC 20 to open
Lock (average),Adventuring Gear,40 gp,1 lb.,DC 25 to open
Lock (good),Adventuring Gear,80 gp,1 lb.,DC 30 to open
Lock (amazing),Adventuring Gear,150 gp,1 lb.,DC 40 to open
Manacles,Adventuring Gear,15 gp,2 lb.,DC 30 Escape Artist; DC 26 Strength
Manacles (masterwork),Adventuring Gear,50 gp,2 lb.,DC 35 Escape Artist; DC 28 Strength
Mirror (small steel),Adventuring Gear,10 gp,0.5 lb.,Reflective surface
Mug/Tankard (clay),Adventuring Gear,2 cp,1 lb.,Drinking vessel
Oil (1-pint flask),Adventuring Gear,1 sp,1 lb.,Burns 6 hours; splash weapon
Paper (sheet),Adventuring Gear,4 sp,,Writing surface
Parchment (sheet),Adventuring Gear,2 sp,,Writing surface
Pick (miner's),Adventuring Gear,3 gp,10 lb.,Mining tool
Pitcher (clay),Adventuring Gear,2 cp,5 lb.,Container
Piton,Adventuring Gear,1 sp,0.5 lb.,Climbing spike
Pole (10-foot),Adventuring Gear,2 sp,8 lb.,Probing tool
Pot (iron),Adventuring Gear,5 sp,10 lb.,Cooking vessel
Pouch (belt),Adventuring Gear,1 gp,0.5 lb.,Small container
Ram (portable),Adventuring Gear,10 gp,20 lb.,+2 to break doors; allows helper
Rations (trail per day),Adventuring Gear,5 sp,1 lb.,Food for one day
Rope (hempen 50 ft.),Adventuring Gear,1 gp,10 lb.,2 HP; DC 23 to burst
Rope (silk 50 ft.),Adventuring Gear,10 gp,5 lb.,4 HP; DC 24 to burst; +2 Use Rope
Sack,Adventuring Gear,1 sp,0.5 lb.,Container
Sealing wax,Adventuring Gear,1 gp,1 lb.,For sealing letters
Sewing needle,Adventuring Gear,5 sp,,Crafting tool
Signal whistle,Adventuring Gear,8 sp,,Signaling device
Signet ring,Adventuring Gear,5 gp,,Personal seal
Sledge,Adventuring Gear,1 gp,10 lb.,Heavy hammer
Soap (per lb.),Adventuring Gear,5 sp,1 lb.,Cleaning
Spade or shovel,Adventuring Gear,2 gp,8 lb.,Digging tool
Spyglass,Adventuring Gear,1000 gp,1 lb.,Magnifies 2x
Tent,Adventuring Gear,10 gp,20 lb.,Shelter
Torch,Adventuring Gear,1 cp,1 lb.,20 ft radius illumination for 1 hour
