Name,Proficiency,Category,Cost,Dmg (S),Dmg (M),Critical,Range Increment,Weight,Type
Gauntlet,Simple,Unarmed,2 gp,1d2,1d3,x2,,1 lb.,Bludgeoning
Unarmed strike,Simple,Unarmed,,1d2,1d3,x2,,,Bludgeoning
Dagger,Simple,Light Melee,2 gp,1d3,1d4,19-20/x2,10 ft.,1 lb.,Piercing or slashing
Dagger (punching),Simple,Light Melee,2 gp,1d3,1d4,x3,,1 lb.,Piercing
Gauntlet (spiked),Simple,Light Melee,5 gp,1d3,1d4,x2,,1 lb.,Piercing
Mace (light),Simple,Light Melee,5 gp,1d4,1d6,x2,,4 lb.,Bludgeoning
Sickle,Simple,Light Melee,6 gp,1d4,1d6,x2,,2 lb.,Slashing
Club,Simple,One-Handed Melee,,1d4,1d6,x2,10 ft.,3 lb.,Bludgeoning
Mace (heavy),Simple,One-Handed Melee,12 gp,1d6,1d8,x2,,8 lb.,Bludgeoning
Morningstar,Simple,One-Handed Melee,8 gp,1d6,1d8,x2,,6 lb.,Bludgeoning and piercing
Shortspear,Simple,One-Handed Melee,1 gp,1d4,1d6,x2,20 ft.,3 lb.,Piercing
Longspear,Simple,Two-Handed Melee,5 gp,1d6,1d8,x3,,9 lb.,Piercing
Quarterstaff,Simple,Two-Handed Melee,,1d4/1d4,1d6/1d6,x2,,4 lb.,Bludgeoning
Spear,Simple,Two-Handed Melee,2 gp,1d6,1d8,x3,20 ft.,6 lb.,Piercing
Crossbow (heavy),Simple,Ranged,50 gp,1d8,1d10,19-20/x2,120 ft.,8 lb.,Piercing
Crossbow (light),Simple,Ranged,35 gp,1d6,1d8,19-20/x2,80 ft.,4 lb.,Piercing
Dart,Simple,Ranged,5 sp,1d3,1d4,x2,20 ft.,0.5 lb.,Piercing
Javelin,Simple,Ranged,1 gp,1d4,1d6,x2,30 ft.,2 lb.,Piercing
Sling,Simple,Ranged,,1d3,1d4,x2,50 ft.,0 lb.,Bludgeoning
Axe (throwing),Martial,Light Melee,8 gp,1d4,1d6,x2,10 ft.,2 lb.,Slashing
Hammer (light),Martial,Light Melee,1 gp,1d3,1d4,x2,20 ft.,2 lb.,Bludgeoning
Handaxe,Martial,Light Melee,6 gp,1d4,1d6,x3,,3 lb.,Slashing
Kukri,Martial,Light Melee,8 gp,1d3,1d4,18-20/x2,,2 lb.,Slashing
Pick (light),Martial,Light Melee,4 gp,1d3,1d4,x4,,3 lb.,Piercing
Sap,Martial,Light Melee,1 gp,1d4,1d6,x2,,2 lb.,Bludgeoning
