name,description
Alignment,"As characters enter the larger cosmic struggles of morality and alignment, they are able to gain new tools to help them champion their philosophies.

Alignment Feats: If you have at least 10 Hit Dice, you can take any alignment feat that matches your alignment. You cannot have more than one alignment feat at any time, but after changing alignment, when you reach a new character level, you can freely switch your alignment feat to your new alignment's feat. Most alignment feats have a Residual entry that allows you to benefit from some part of the feat even when you no longer meet the alignment prerequisite for the feat, usually aiding you in a small way to regain that alignment. Most alignment feats also allow you to store affirmations for later use. If you shift alignment and no longer have the ability to store affirmations, any affirmations stored by that feat are lost."
Combat,"""Any feat designated as a combat feat can be selected as a fighter's bonus feat. This designation does not restrict characters of other classes from selecting these feats, assuming that they meet the prerequisites."
Critical,Critical feats modify the effects of a critical hit by inflicting an additional condition on the victim of the critical hit. Characters without the Critical Mastery feat can only apply the effects of one critical feat to an individual critical hit. Characters with multiple critical feats can decide which feat to apply after the critical hit has been confirmed.
Esoteric,"In a campaign that uses the esoteric material component system, characters have access to the following feats. Any time a character would gain a bonus metamagic feat, he can choose to take an esoteric feat instead."
Grit,"Grit feats interact with the gunslinger's grit class ability or the grit granted by the Amateur Gunslinger feat, usually by adding to her set of deeds. Sometimes these feats increase the number of grit points a character has or how that character regains grit points. Gunslingers can take grit feats as bonus feats."
Item Creation,"An item creation feat lets a character create a magic item of a certain type. Regardless of the type of item each involves, the various item creation feats all have certain features in common.

Raw Materials Cost: The cost of creating a magic item equals half the base price of the item.

Using an item creation feat also requires access to a laboratory or magical workshop, special tools, and so on. A character generally has access to what he needs unless unusual circumstances apply.

Time: The time to create a magic item depends on the feat and the cost of the item.

Item Cost: Brew Potion, Craft Staff, Craft Wand, and Scribe Scroll create items that directly reproduce spell effects, and the power of these items depends on their caster level—that is, a spell from such an item has the power it would have if cast by a spellcaster of that level. The price of these items (and thus the cost of the raw materials) also depends on the caster level. The caster level must be low enough that the spellcaster creating the item can cast the spell at that level. To find the final price in each case, multiply the caster level by the spell level, then multiply the result by a constant, as shown below:

Scrolls: Base price = spell level × caster level × 25 gp.
Potions: Base price = spell level × caster level × 50 gp.
Wands: Base price = spell level × caster level × 750 gp.
Staves: The price for staves is calculated using more complex formulas (see Magic Items).

A 0-level spell is considered to have a spell level of 1/2 for the purpose of this calculation.

Extra Costs: Any potion, scroll, or wand that stores a spell with a costly material component also carries a commensurate cost. For potions and scrolls, the creator must expend the material component cost when creating the item. For a wand, the creator must expend 50 units of the material component. Some magic items similarly incur extra costs in material components, as noted in their descriptions.

Skill Check: Successfully creating a magic item requires a Spellcraft check with a DC equal to 5 + the item's caster level. Alternatively, you can use an associated Craft or Profession skill to attempt this check instead, depending upon the item being crafted. See Magic Item Creation for more details on which Craft and Profession checks may be substituted in this manner. The DC of this check can increase if the crafter is rushed or does not meet all of the prerequisites. A failed check ruins the materials used, while a check that fails by 5 or more results in a cursed item. See Magic Items for more details."
Metamagic,"As a spellcaster's knowledge of magic grows, he can learn to cast spells in ways slightly different from the norm. Preparing and casting a spell in such a way is harder than normal but, thanks to metamagic feats, is at least possible. Spells modified by a metamagic feat use a spell slot higher than normal. This does not change the level of the spell, so the DC for saving throws against it does not go up. Metamagic feats do not affect spell-like abilities.

Wizards and Divine Spellcasters: Wizards and divine spellcasters must prepare their spells in advance. During preparation, the character chooses which spells to prepare with metamagic feats (and thus which ones take up higher-level spell slots than normal).

Sorcerers and Bards: Sorcerers and bards choose spells as they cast them. They can choose when they cast their spells whether to apply their metamagic feats to improve them. As with other spellcasters, the improved spell uses up a higher-level spell slot. Because the sorcerer or bard has not prepared the spell in a metamagic form in advance, he must apply the metamagic feat on the spot. Therefore, such a character must also take more time to cast a metamagic spell (one enhanced by a metamagic feat) than he does to cast a regular spell. If the spell's normal casting time is a standard action, casting a metamagic version is a full-round action for a sorcerer or bard. (This isn't the same as a 1-round casting time.) The only exception is for spells modified by the Quicken Spell metamagic feat, which can be cast as normal using the feat.

For a spell with a longer casting time, it takes an extra full-round action to cast the spell.

Spontaneous Casting and Metamagic Feats: A cleric spontaneously casting a cure or inflict spell, or a druid spontaneously casting a summon nature's ally spell, can cast a metamagic version of it instead. Extra time is also required in this case. Casting a standard action metamagic spell spontaneously is a full-round action, and a spell with a longer casting time takes an extra full-round action to cast. The only exception is for spells modified by the Quicken Spell feat, which can be cast as a swift action.

Effects of Metamagic Feats on a Spell: In all ways, a metamagic spell operates at its original spell level, even though it is prepared and cast using a higher-level spell slot. Saving throw modifications are not changed unless stated otherwise in the feat description.

The modifications made by these feats only apply to spells cast directly by the feat user. A spellcaster can't use a metamagic feat to alter a spell being cast from a wand, scroll, or other device.

Metamagic feats that eliminate components of a spell don't eliminate the attack of opportunity provoked by casting a spell while threatened. Casting a spell modified by Quicken Spell does not provoke an attack of opportunity.

Metamagic feats cannot be used with all spells. See the specific feat descriptions for the spells that a particular feat can't modify.

Multiple Metamagic Feats on a Spell: A spellcaster can apply multiple metamagic feats to a single spell. Changes to its level are cumulative. You can't apply the same metamagic feat more than once to a single spell.

Magic Items and Metamagic Spells: With the right item creation feat, you can store a metamagic version of a spell in a scroll, potion, or wand. Level limits for potions and wands apply to the spell's higher spell level (after the application of the metamagic feat). A character doesn't need the metamagic feat to activate an item storing a metamagic version of a spell.

Counterspelling Metamagic Spells: Whether or not a spell has been enhanced by a metamagic feat does not affect its vulnerability to counterspelling or its ability to counterspell another spell (see Magic)."
Mythic,"Mythic characters and monsters gain mythic feats as they gain tiers or ranks. These feats can be selected only as part of mythic advancement, not as part of a character's normal advancement or in place of any other bonus feat.

Most mythic feats require a non-mythic feat as a prerequisite. These mythic feats enhance the benefits of their prerequisite feats, making them truly awe-inspiring. If a character doesn't possess any of the necessary prerequisite feats when she gains a mythic feat, she can wait to select a mythic feat until the next time she gains a tier or level.

A value in a mythic feat based on a fraction of your tier (such as a +1 bonus for every 3 tiers you possess) always has a minimum of 1.

This section includes some non-mythic feats. These grant a character who hasn't had a moment of ascension a measure of mythic might, and remain relevant if that character later becomes mythic.

Only characters with mythic tiers or creatures with mythic ranks can take these feats. If a creature becomes non-mythic, it no longer gains the benefit of these feats, but it doesn't lose them permanently. If the creature becomes mythic again, it regains the use of all the mythic feats it once had.

Many mythic feats enhance non-mythic feats with the same name. When a creature has a mythic version of a feat, that feat is denoted with a superscript ""M"" in the feat line of its stat block."
Panache,Panache feats interact with the swashbuckler's panache class ability or the panache granted by the Amateur Swashbuckler feat. Swashbucklers can take panache feats as bonus feats.
Performance,"Performance feats are used when you make a performance combat check, typically granting a special action that occurs when you make that check. Unless you have the Masterful Display feat, you can only apply the effect of one performance feat to each performance combat check you make."
