URI,Name,Prerequisites,Short Description,long_description,Books,Category
../advancedClassGuide/feats.html#aberrant-tumor,Aberrant Tumor,Aberrant bloodline,Gain a tumor familiar,"To the surprise of others, that strange growth on you is actually your spellcasting companion.

Prerequisite: Aberrant bloodline.

Benefit: You gain a tumor familiar, as the tumor familiar alchemist discovery, with an effective alchemist level equal to the level of the class that grants your aberrant bloodline for determining the tumor familiar's abilities. If multiple classes grant you the aberrant bloodline, those class levels stack for determining your effective alchemist level.",Advanced Class Guide,Untyped
../bestiary/monsterFeats.html#ability-focus,Ability Focus,Special attack,Add +2 to the DC for all saving throws against selected special attack,"One of this creature's special attacks is particularly difficult to resist.

Prerequisite: Special attack.

Benefit: Choose one of the creature's special attacks. Add +2 to the DC for all saving throws against the special attack on which the creature focuses.

Special: A creature can gain this feat multiple times. Its effects do not stack. Each time the creature takes the feat, it applies to a different special attack.",Bestiary,Untyped
../ultimateMagic/ultimateMagicFeats.html#abundant-revelations,Abundant Revelations,Mystery class feature,Use a single revelation more times each day,"You can plumb the depths of your mystery to use your revelations more often.

Prerequisite: Mystery class feature.

Benefit: Choose one of your revelations that has a number of uses per day. You gain 1 additional use per day of that revelation.

Special: You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new revelation.",Ultimate Magic,Untyped
../ultimateCampaign/characterBackground/storyFeats.html#accursed,Accursed,Carry a curse or have the Cursed Birth background,Gain SR 5 + character level,"Your curse weighs down your soul like a millstone around your neck.

Prerequisite: You must carry a curse that can be lifted only by a quest or similar great undertaking, or have the Cursed Birth background.

Benefit: You gain spell resistance equal to 5 + your character level, as the curse interferes with all magic. Unlike most spell resistance, it can't voluntarily be lowered, though your own spells and magic items still automatically affect you.

Goal: Your curse is lifted or you are able to purge the corruption of your fiendish blood (the circumstances of either vary widely based on the nature of the curse, and are up to the GM).

Completion Benefit: You lose the spell resistance described above. You gain spell resistance equal to 11 + your character level, but only against harmful enchantment, necromancy, and transmutation spells and spell-like abilities—your aura resists further attempts to curse you. Harmless spells automatically bypass this spell resistance whether you desire it or not. This spell resistance can be voluntarily lowered.",Ultimate Campaign,Story
../ultimateMagic/ultimateMagicFeats.html#accursed-hex,Accursed Hex,Hex class feature,Target a creature with a hex a second time that day if it made its save the first time,"You can make a second attempt at failed hexes.

Prerequisite: Hex class feature.

Benefit: When you target a creature with a hex that cannot target the same creature more than once per day, and that creature succeeds at its saving throw against the hex's effect, you can target the creature with the same hex a second time before the end of your next turn. If the second attempt fails, you can make no further attempts to target that creature with the same hex for 1 day.

Normal: You can only target a creature with these hexes once per day.",Ultimate Magic,Untyped
../mythicAdventures/mythicFeats.html#accursed-hex-mythic,Accursed Hex - Mythic,Accursed Hex,Target Accursed Hex must roll second save twice and take lower result,"Your hexes flare with persistent potency.

Prerequisite: Accursed Hex.

Benefit: When you use Accursed Hex to target a creature with one of your hexes a second time, that creature must roll its saving throw twice and take the lower result.",Mythic Adventures,Mythic
../coreRulebook/feats.html#acrobatic,Acrobatic,—,+2 bonus on Acrobatics and Fly checks,"You are skilled at leaping, jumping, and flying.

Benefit: You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",Core Rulebook,Untyped
../mythicAdventures/mythicFeats.html#acrobatic-mythic,Acrobatic - Mythic,Acrobatic,"Gain an additional +2 bonus on Acrobatic and Fly, and expend mythic power to treat one of these checks as if you rolled a 20","Your grace and fluidity are beyond compare.

Prerequisite: Acrobatic.

Benefit: The bonus on Acrobatics and Fly skill checks from Acrobatic increases by 2. In addition, you can expend one use of mythic power to treat an Acrobatics or Fly check as if you had rolled a natural 20. You must decide to use this ability before making the roll.",Mythic Adventures,Mythic
../advancedPlayersGuide/advancedFeats.html#additional-traits,Additional Traits,—,Gain two additional character traits,"You have more traits than normal.

Benefit: You gain two character traits of your choice (see Chapter 8). These traits must be chosen from different lists, and cannot be chosen from lists from which you have already selected a character trait. You must meet any additional qualifications for the character traits you choose.",Advanced Player's Guide,Untyped
../ultimateCombat/ultimateCombatFeats.html#adept-champion,Adept Champion,"Smite evil class feature, base attack bonus +5",Trade smite evil damage for bonus on combat maneuver checks,"You can alter your smite ability, channeling the power of your deity into divine inspiration that grants you greater aptitude for performing  combat maneuvers.

Prerequisites: Smite evil class feature, base attack bonus +5.

Benefit: While using your smite evil class feature, as a swift action at the start of your turn, you can forgo the bonus on damage rolls and instead gain half that bonus as a bonus on combat maneuver checks against the target of your smite. The effects of your smite evil feature return to normal at the start of your next turn.",Ultimate Combat,Untyped
